country,category,revenue
Afghanistan,Accessories,594.934084104686
Afghanistan,Automotive,126.415915404231
Afghanistan,Beauty,199.74889805250598
Afghanistan,Electronics,309.762424433709
Afghanistan,Fitness,80.78879456953601
Afghanistan,Food - Bakery,23.468631288154
Afghanistan,Food - Baking,1.065611974497
Afghanistan,Food - Baking Goods,30.451000033517
Afghanistan,Food - Beverages,41.811083132988
Afghanistan,Food - Breakfast,88.26999840099602
Afghanistan,Food - Canned Goods,128.505295585293
Afghanistan,Food - Condiments,5.677546524654
Afghanistan,Food - Dairy,255.96571856691105
Afghanistan,Food - Dressings,63.29243060097301
Afghanistan,Food - Frozen Food,62.546320036444996
Afghanistan,Food - Frozen Foods,94.834413201249
Afghanistan,Food - Gourmet Rice,103.296287482872
Afghanistan,Food - Pantry,29.766453655350997
Afghanistan,Food - Pasta,25.008531499383
Afghanistan,Food - Produce,5.3399041547429995
Afghanistan,Food - Seafood,210.39393336762902
Afghanistan,Food - Snacks,51.960463058646
Afghanistan,Food - Spices,19.9475457084
Afghanistan,Garden,239.97811628912098
Afghanistan,Health,521.2557555906659
Afghanistan,Home,99.468978952497
Afghanistan,Kitchen,2524.127089408252
Afghanistan,Office,6.487307747032
Afghanistan,Outdoor,523.191059316933
Afghanistan,Pets,252.31378518956396
Afghanistan,Storage,65.573417862081
Afghanistan,Toys,82.352459037612
Albania,Accessories,364.719905193165
Albania,Automotive,1496.4081140883973
Albania,Clothing - Bottoms,167.89489638952801
Albania,Clothing - Outerwear,294.29784844667404
Albania,Clothing - Shirts,314.133289577613
Albania,Clothing - Tops,168.894257121454
Albania,Fitness,285.119654877846
Albania,Food - Beverages,31.481962725778004
Albania,Food - Breakfast,108.773595468427
Albania,Food - Condiments,63.500760970603004
Albania,Food - Frozen Desserts,68.87829861382299
Albania,Food - Pasta,0.9388992865229999
Albania,Food - Produce,10.625861492017
Albania,Food - Seafood,143.67738073506
Albania,Food - Snacks,1.022065913295
Albania,Health,1504.9328527589662
Albania,Home,408.11079893779197
Albania,Home Appliances,2132.6303455770058
Albania,Kitchen,0.706912361003
Albania,Office,451.57617051696695
Albania,Outdoor,4126.58259948682
Albania,Pets,915.3972385275919
Albania,Toys,69.68313196252099
Albania,Travel,116.10626326525798
Andorra,Food - Snacks,34.793685036801
Andorra,Kitchen,347.58628372202304
Angola,Clothing - Shirts,164.10763370816898
Angola,Food - Dairy,19.48099723917
Angola,Food - Frozen,54.772358404708
Angola,Office,189.105332948873
Angola,Outdoor,87.15344590523699
Anguilla,Food - Meat Substitutes,2.116097217044
Anguilla,Food - Snacks,3.815970346791
Antigua and Barbuda,Toys,39.193791618476
Antigua and Barbuda,Travel,55.069798421655
Argentina,Accessories,2930.122729788735
Argentina,Bathroom,230.99759101728603
Argentina,Beauty,594.656103275976
Argentina,Bicycles,220.968276942206
Argentina,Books,50.256432529554004
Argentina,Clothing,523.756147029923
Argentina,Clothing - Accessories,453.28500209521
Argentina,Clothing - Activewear,543.867050209257
Argentina,Clothing - Bottoms,866.487051584657
Argentina,Clothing - Footwear,1551.071362967141
Argentina,Clothing - Tops,289.83563755174504
Argentina,Crafts,129.039556983777
Argentina,Electronics,1791.228362779468
Argentina,Fitness,860.433229337068
Argentina,Food - Bakery,51.65856058233601
Argentina,Food - Baking,55.968248365278
Argentina,Food - Beverages,31.228859471332996
Argentina,Food - Breakfast,94.28237228616801
Argentina,Food - Canned Goods,82.81790172410001
Argentina,Food - Condiments,185.23126151389
Argentina,Food - Dairy,5.003075467159
Argentina,Food - Dairy Alternatives,1.5063846120000002
Argentina,Food - Dips,93.12773267639301
Argentina,Food - Frozen,123.899719414526
Argentina,Food - Frozen Desserts,116.41030042879201
Argentina,Food - Frozen Foods,29.646835167651002
Argentina,Food - Grains,0.314804465591
Argentina,Food - Grocery,3.291425574297
Argentina,Food - Meat,17.262123039576
Argentina,Food - Meats,15.056363312253001
Argentina,Food - Prepared Foods,112.73042294763302
Argentina,Food - Produce,14.921764950308
Argentina,Food - Sauces,57.39470324196
Argentina,Food - Seafood,107.213716060902
Argentina,Food - Snacks,76.676277731389
Argentina,Food - Soups,9.968921884014
Argentina,Food - Spices,72.29386884129701
Argentina,Food - Spices & Seasonings,28.395271271653005
Argentina,Furniture,830.6555994232862
Argentina,Garden,191.122631449881
Argentina,Health,8709.55298130969
Argentina,Home,869.232833750998
Argentina,Kitchen,2945.390377305943
Argentina,Office,217.27111168082197
Argentina,Outdoor,468.193317007412
Argentina,Pets,236.165314737534
Argentina,Smart Home,381.970807354911
Argentina,Storage,610.092056523516
Argentina,Toys,1956.979121704444
Argentina,Travel,41.984326105151
Argentina,Wearable Tech,44.574774976709996
Armenia,Audio,216.214352373185
Armenia,Beauty,1432.28611781028
Armenia,Clothing - Shirts,707.900553612591
Armenia,Clothing - Tops,1145.529137262422
Armenia,Fitness,2266.087827588137
Armenia,Food - Breakfast,64.196048771464
Armenia,Food - Condiments,18.778544628760002
Armenia,Food - Frozen Foods,414.335555944783
Armenia,Food - Grocery,10.9059054281
Armenia,Food - Meal Kits,35.193435091497
Armenia,Food - Meat,223.900076271735
Armenia,Food - Snacks,1.6241385891640003
Armenia,Food - Vegetables,4.815329401681001
Armenia,Health,104.791627585816
Armenia,Home,1034.025472761421
Armenia,Kitchen,661.042969501801
Armenia,Pets,10.991664163534
Aruba,Food - Snacks,4.089308819559
Aruba,Outdoor,627.844993142548
Australia,Clothing - Loungewear,269.077915749076
Australia,Crafts,299.703327794703
Australia,Food - Frozen,29.920881672565002
Australia,Home,544.794696777965
Australia,Pets,149.93285977473298
Austria,Fitness,282.831721724166
