payment_method,category,revenue
Cash_Transaction,Accessories,2497.7455564704032
Cash_Transaction,Apps,104.101439916138
Cash_Transaction,Audio,2212.266090414305
Cash_Transaction,Automotive,257.701828137362
Cash_Transaction,Beauty,1116.00983981199
Cash_Transaction,Bicycles,8336.2796027319
Cash_Transaction,Books,280.997297760653
Cash_Transaction,Clothing,277.12684443918397
Cash_Transaction,Clothing - Accessories,3179.7128724059744
Cash_Transaction,Clothing - Activewear,138.020801294477
Cash_Transaction,Clothing - Bottoms,347.461321950535
Cash_Transaction,Clothing - Dresses,569.200810107349
Cash_Transaction,Clothing - Footwear,160.985372807836
Cash_Transaction,Clothing - Outerwear,2754.2053868365074
Cash_Transaction,Clothing - Pants,248.75803950414303
Cash_Transaction,Clothing - Sweaters,906.824053323993
Cash_Transaction,Clothing - Tops,1779.5371527792822
Cash_Transaction,Computers,116.91780207629101
Cash_Transaction,Electronics,1662.4938492380838
Cash_Transaction,Fitness,3121.1357243686753
Cash_Transaction,Food,1436.4222512196939
Cash_Transaction,Food - Baked Goods,13.947894752609
Cash_Transaction,Food - Bakery,405.91768242290306
Cash_Transaction,Food - Baking,281.328553784317
Cash_Transaction,Food - Baking & Cooking,0.12053805527100002
Cash_Transaction,Food - Baking Goods,141.850607138102
Cash_Transaction,Food - Beverages,10.151130742820001
Cash_Transaction,Food - Bread,4.006064588481
Cash_Transaction,Food - Breakfast,84.99843992001401
Cash_Transaction,Food - Canned Goods,130.002200900113
Cash_Transaction,Food - Canned Soups,7.621221720986
Cash_Transaction,Food - Cereals,0.11669890647799999
Cash_Transaction,Food - Condiments,458.090021463978
Cash_Transaction,Food - Confectionery,99.512259814638
Cash_Transaction,Food - Dairy,102.636914476303
Cash_Transaction,Food - Deli,2.0153373883760004
Cash_Transaction,Food - Desserts,142.412708185588
Cash_Transaction,Food - Dressings,15.815132746905002
Cash_Transaction,Food - Fresh Produce,39.762688655079
Cash_Transaction,Food - Frozen,93.505955500458
Cash_Transaction,Food - Frozen Desserts,220.093199493297
Cash_Transaction,Food - Frozen Food,52.75146345441001
Cash_Transaction,Food - Frozen Foods,456.871513235949
Cash_Transaction,Food - Frozen Meals,319.026897769167
Cash_Transaction,Food - Grains,147.059702422983
Cash_Transaction,Food - Household,205.191417645329
Cash_Transaction,Food - Meal Kits,134.710788533202
Cash_Transaction,Food - Meat,111.869721659214
Cash_Transaction,Food - Oils,97.38915842310399
Cash_Transaction,Food - Oils & Vinegars,23.845131043019
Cash_Transaction,Food - Pasta,4.283788586204
Cash_Transaction,Food - Prepared Foods,49.159692400896
Cash_Transaction,Food - Prepared Meals,181.500953352644
Cash_Transaction,Food - Produce,167.08234599227802
Cash_Transaction,Food - Protein,44.698989813106
Cash_Transaction,Food - Salad Toppings,38.307763758966004
Cash_Transaction,Food - Salads,106.38234327825501
Cash_Transaction,Food - Sauces,74.09334610502201
Cash_Transaction,Food - Seafood,421.531797333011
Cash_Transaction,Food - Sides,12.391061386305001
Cash_Transaction,Food - Snacks,530.292835332567
Cash_Transaction,Food - Soups,152.124561139212
Cash_Transaction,Food - Spices,32.425242204948
Cash_Transaction,Food - Spreads,190.98826844041702
Cash_Transaction,Food - Vegetables,16.139176571910003
Cash_Transaction,Gaming,11.100130294431999
Cash_Transaction,Garden,586.1754208269231
Cash_Transaction,Health,8987.299327080525
Cash_Transaction,Home,2640.454268695374
Cash_Transaction,Home Appliances,2884.521436647258
Cash_Transaction,Kitchen,7865.7833022397035
Cash_Transaction,Office,1544.560713339884
Cash_Transaction,Outdoor,6391.538500045623
Cash_Transaction,Pets,3805.948221351635
Cash_Transaction,Photography,942.454198309513
Cash_Transaction,Safety,187.66875496185997
Cash_Transaction,Sports,1649.5762449897531
Cash_Transaction,Toys,350.68395551259994
Cash_Transaction,Travel,340.869055638864
americanexpress,Accessories,222.747871625362
americanexpress,Audio,501.828493854074
americanexpress,Automotive,211.59659923496602
americanexpress,Beauty,1187.6767771613493
americanexpress,Clothing,125.17232421460001
americanexpress,Clothing - Activewear,110.47486130647901
americanexpress,Clothing - Bottoms,1373.700593746098
americanexpress,Clothing - Dresses,688.5939475481189
americanexpress,Clothing - Footwear,202.304189490081
americanexpress,Clothing - Outerwear,55.691143400583
americanexpress,Clothing - Shirts,950.115841582515
americanexpress,Clothing - Tops,51.04795907009
americanexpress,Crafts,402.04145160733395
americanexpress,Electronics,1373.7624622945411
americanexpress,Fitness,1241.845653042838
americanexpress,Food - Bakery,372.091864991394
americanexpress,Food - Baking,181.878497560556
americanexpress,Food - Beverages,18.893866370848002
americanexpress,Food - Canned Goods,117.03682564559799
americanexpress,Food - Cheese,154.895623610266
americanexpress,Food - Condiments,80.525242305182
americanexpress,Food - Cooking Oils,80.952761028479
americanexpress,Food - Dairy,61.894875280786
americanexpress,Food - Desserts,28.285696701467998
americanexpress,Food - Dips,7.795723555069
americanexpress,Food - Frozen,182.124996044687
americanexpress,Food - Frozen Food,95.15502039983102
americanexpress,Food - Frozen Foods,154.75627432587402
americanexpress,Food - Frozen Meals,0.534405332394
americanexpress,Food - Fruits,23.041705116726
americanexpress,Food - Grab-and-Go,21.469278933797
americanexpress,Food - Grains,67.87320056271001
americanexpress,Food - Health Foods,290.327771250638
americanexpress,Food - Jams & Jellies,52.024763288543
americanexpress,Food - Meat,266.461267251585
americanexpress,Food - Meat & Seafood,25.250375786516003
americanexpress,Food - Meats,76.373337682908
americanexpress,Food - Nut Butters,78.56302940444701
americanexpress,Food - Pasta,11.801275349101001
americanexpress,Food - Produce,94.100912743682
americanexpress,Food - Salad Toppings,12.046518332628002
americanexpress,Food - Salads,132.263382090276
americanexpress,Food - Sauces,39.096297818738
americanexpress,Food - Snacks,490.537035164333
americanexpress,Food - Vegetables,42.623926899151
americanexpress,Gaming,1799.691807790156
americanexpress,Garden,490.844578690664
americanexpress,Health,438.31505401988096
americanexpress,Home,1003.342565986748
americanexpress,Home Appliances,393.364903091384
americanexpress,Kitchen,5394.362305356305
americanexpress,Office,1537.4288783488369
americanexpress,Outdoor,3207.137489953274
americanexpress,Pets,571.052047364012
americanexpress,Storage,49.75898217888
americanexpress,Tools,547.567990506816
americanexpress,Toys,76.74825350746198
americanexpress,Travel,406.982239703325
bankcard,Accessories,981.6915487221619
bankcard,Art Supplies,871.2657656680619
bankcard,Automotive,3206.24819423612
bankcard,Books,357.990830574106
bankcard,Clothing - Activewear,201.89423511045698
bankcard,Clothing - Dresses,446.594591894264
bankcard,Clothing - Footwear,560.9856226241909
bankcard,Clothing - Skirts,477.0295835823
bankcard,Clothing - Tops,2069.599297803405
bankcard,Electronics,3656.4065250014582
bankcard,Fitness,2124.735769149714
bankcard,Food - Baked Goods,200.05604319177903
bankcard,Food - Bakery,14.387529319703
bankcard,Food - Baking,227.65129170202502
bankcard,Food - Beverages,335.343577407418
bankcard,Food - Breakfast,73.31989252917
bankcard,Food - Canned Goods,43.046269219427
bankcard,Food - Cereal,24.669507420646003
bankcard,Food - Cereals,40.648274897566
bankcard,Food - Condiments,586.603536943475
bankcard,Food - Confectionery,10.901551462957
bankcard,Food - Dairy,27.025085559458002
bankcard,Food - Dips,17.321130169942
bankcard,Food - Freezer,53.002845242153
bankcard,Food - Frozen,22.862821848009
bankcard,Food - Frozen Food,181.53056881847598
bankcard,Food - Frozen Foods,63.951042350837994
bankcard,Food - Frozen Meals,275.668160463547
bankcard,Food - Frozen Vegetables,21.32344774188
bankcard,Food - Grains,82.334837214445
bankcard,Food - Meal Kits,24.880700656229
bankcard,Food - Meat,170.374917157645
bankcard,Food - Nuts,103.990773246
bankcard,Food - Oils,32.813646345513
bankcard,Food - Pasta,10.611840487149001
bankcard,Food - Prepared Foods,153.197805323574
bankcard,Food - Prepared Meals,75.184630317426
bankcard,Food - Produce,63.187304180845004
bankcard,Food - Salads,151.928949911936
bankcard,Food - Sauces,199.49852579797
